﻿COLL_NOM;COLL_SIRET;DELIB_ID;Code Instance;Date de délibération;BUDGET_ANNEE;N° Passage;Référence;DELIB_OBJET;BUDGET_NOM;DATE_SIGNATURE;Date d'affichage;Date visa préfecture;Libellé Entité Emettrice;PREF_ID;DELIB_MATIERE_CODE;Nom de matière;VOTE_EFFECTIF;VOTE_REEL;VOTE_POUR;VOTE_CONTRE;VOTE_ABSTENTION;DELIB_URL
Grand Paris Sud;20005922800011;1563;Décision;;2017;927;DEC_2017_0927;COLLECTE ET TRAITEMENT DES RÉSIDUS D’ENCOMBRANTS ET DES DÉPÔTS SAUVAGES – AVENANT N° 1 AU MARCHE N° SI1301 CONCLU AVEC LA SOCIÉTÉ ECYCLEVA;;2017-10-19;2017-11-24;2017-11-21;Gestionnaires Commande Publique;PREF91;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/decisions-gps-schema-scdl/files/4997440d7318c302ee957dde139f84c8
Grand Paris Sud;20005922800011;1561;Décision;;2017;938;DEC_2017_0938;Annexe du Palais des Sports de Corbeil-Essonnes - Mise à disposition de locaux au bénéfice de l'association sportive Chantermerle - Saison 2017/2018;;2017-10-18;2017-10-20;2017-10-19;Assemblées;PREF91;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/decisions-gps-schema-scdl/files/3aaf2b6d71ad847f3b63abd7175b31fd
Grand Paris Sud;20005922800011;1500;Décision;;2017;946;DEC_2017_0946;Attribution d'un marché de contrôle technique pour la réalisation de la chaufferie du réseau de chaleur du Grand Parc à Bondoufle - Marché public de prestations intellectuelles à conclure avec la société Qualiconsult;;2017-10-19;2017-10-20;2017-10-19;Service des ressources administratives;PREF91;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/decisions-gps-schema-scdl/files/359b6a5e122932f1cb5b5519a38ef356
Grand Paris Sud;20005922800011;1658;Décision;;2017;950;DEC_2017_0950;Stade nautique Gabriel Menut à Corbeil-Essonnes - Mise à disposition de locaux pour la saison 2017/2018;;2017-10-20;2017-10-25;2017-10-27;Assemblées;PREF91;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/decisions-gps-schema-scdl/files/de1fb059ed852e940b5894c9fb7d7f77
Grand Paris Sud;20005922800011;1754;Décision;;2017;955;DEC_2017_0955;STADE NAUTIQUE GABRIEL MENUT A CORBEIL-ESSONNES - MISE A DISPOSITION DE LOCAUX AU BENEFICE DU CENTRE DE SECOURS PRINCIPAL DE CORBEIL-ESSONNES - SAISON 2017/2018;;2017-10-20;2017-10-25;2017-10-27;Assemblées;PREF91;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/decisions-gps-schema-scdl/files/c669cf26b7452b412108f429313a8b27
Grand Paris Sud;20005922800011;1755;Décision;;2017;957;DEC_2017_0957;Gymnase David Douillet au Coudray-Montceaux - Mise à disposition de locaux au bénéfice de La brigade motorisée de la gendarmerie de Corbeil-Essonnes;;2017-10-20;2017-10-25;2017-10-27;Assemblées;PREF91;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/decisions-gps-schema-scdl/files/f04aae373347828d349eb26da6cbe698
Grand Paris Sud;20005922800011;1697;Décision;;2017;959;DEC_2017_0959;Palais des sports de Corbeil-Essonnes - Mise à dispositions de locaux au bénéfice de la commune de Corbeil-Essonnes;;2017-10-20;2017-10-25;2017-10-27;Assemblées;PREF91;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/decisions-gps-schema-scdl/files/c63d7daa22e82748b8ea8242dadaccc7
Grand Paris Sud;20005922800011;1688;Décision;;2017;962;DEC_2017_0962;Salle des fêtes à Saint-Germain-lès-Corbeil - Mise à disposition de locaux au bénéfice de la commune de Saint-Germain-lès-Corbeil;;2017-10-20;2017-10-25;2017-10-27;Assemblées;PREF91;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/decisions-gps-schema-scdl/files/73e9a6e479f5c20061f8c19530b7fc33
Grand Paris Sud;20005922800011;1536;Décision;;2017;969;DEC_2017_0969;Médiathèque ludothèque de Combs-La-Ville - Soirée de présentation littéraire - Convention avec la Librairie du Château;;2017-10-19;2017-10-20;2017-10-19;Assemblées;PREF91;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/decisions-gps-schema-scdl/files/99d67596818a3bbf64a2ab0f6c66abfa
Grand Paris Sud;20005922800011;1633;Décision;;2017;976;DEC_2017_0976;Fonds Micro-Projets Politique de la Ville - Attribution d'une subvention à l'association AVSD (Association des Volontaires pour la Santé et le Développement);;2017-10-19;2017-10-20;2017-10-19;Assemblées;PREF91;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/decisions-gps-schema-scdl/files/560fe3c0e57e3d92c108463e68d1314d
