Collectivité;n° SIRET;Code Interne;Code Instance;Date Séance;Année;N° Passage;Référence;Titre;Vote Effectif;Vote Réél;Vote Pour;Vote Contre;Vote Abstention;Vote NPPV;NAT_VOTE;DELIB_URL
Grand Paris Sud;20005922800011.0;;bureau;2016-11-22;2016;;37;Projet de restructuration viaire dans le secteur « Bois Briard ex-RN446 » à Courcouronnes – déclaration de projet suite à enquête publique;;;;;;;;
Grand Paris Sud;20005922800011.0;;bureau;2016-11-22;2016;;40;Avis sur la modification des statuts du SIREDOM;;;;;;;;
Grand Paris Sud;20005922800011.0;;bureau;2016-11-22;2016;;44;Avis sur l’adhésion au SIVOM de la Communauté de communes de l’Orée de la Brie au titre de la compétence ordures ménagères pour les communes de Servon et Varennes-Jarcy;;;;;;;;
Grand Paris Sud;20005922800011.0;;conseil;2016-11-22;2016;;1;Procès-verbal du Conseil communautaire du 11 octobre 2016;;;;;;;;
Grand Paris Sud;20005922800011.0;;conseil;2016-11-22;2016;;2;Communication des travaux du Bureau communautaire du 18 octobre 2016;;;;;;;;
Grand Paris Sud;20005922800011.0;;conseil;2016-11-22;2016;;4;Commande Publique - approbation du guide des procédures internes;;;;;;;;
Grand Paris Sud;20005922800011.0;;conseil;2016-11-22;2016;;7;Budget annexe des pépinières - exercice 2016 – admission en non-valeur;;;;;;;;
Grand Paris Sud;20005922800011.0;;conseil;2016-11-22;2016;;11;Augmentation du capital de la SPL des territoires de l’Essonne;;;;;;;;
Grand Paris Sud;20005922800011.0;;conseil;2016-11-22;2016;;14;Installation de la Conférence Intercommunale du Logement (CIL);;;;;;;;
Grand Paris Sud;20005922800011.0;;conseil;2016-11-22;2016;;23;Modification de l’enveloppe financière prévisionnelle pour la construction du groupe scolaire n°5 (Saint Exupéry) à Saint-Pierre-du-Perray;;;;;;;;
Grand Paris Sud;20005922800011.0;;bureau;2016-12-06;2016;;1;Procès-verbal du bureau communautaire du 22 novembre 2016;;;;;;;;
Grand Paris Sud;20005922800011.0;;bureau;2016-12-06;2016;;6;Versements d’acomptes sur subventions 2017 aux associations;;;;;;;;
Grand Paris Sud;20005922800011.0;;bureau;2016-12-06;2016;;12;Mise à disposition de personnel – Avenant n°2 à la convention conclue avec l’Etablissement Public Territorial Grand-Orly - Val-de-Bièvre - Seine-Amont;;;;;;;;
Grand Paris Sud;20005922800011.0;;conseil;2016-12-13;2016;;2;Communication des décisions prises par le Président et le Vice-Président en charge de la commande publique par délégation du conseil;;;;;;;;
Grand Paris Sud;20005922800011.0;;conseil;2016-12-13;2016;;17;Stade nautique Gabriel Menut à Corbeil-Essonnes – tarification de nouvelles activités;;;;;;;;
Grand Paris Sud;20005922800011.0;;conseil;2016-12-13;2016;;18;Equipements sportifs - tarifs 2017 de location et de mise en place du matériel;;;;;;;;
Grand Paris Sud;20005922800011.0;;conseil;2017-01-24;2017;;DEL_2017_006;Syndicat intercommunal d’aménagement, de rivières et de cycle de l’eau (SIARCE) – élection des représentants;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/b952bdc6a6933b0dc037d82824aed28d
Grand Paris Sud;20005922800011.0;;conseil;2017-01-24;2017;;DEL_2017_007;Signature de la convention constitutive du Groupement d’Intérêt Public « Porte Sud du Grand Paris » - adhésion – désignation des représentants;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/aa9e03a5e02498319ce19b8ee58b87a5
Grand Paris Sud;20005922800011.0;;conseil;2017-01-24;2017;;DEL_2017_008;Augmentation de capital de la SEM Essonne Aménagement;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/64edd91df2c0c3bb0821aeb77f87a456
Grand Paris Sud;20005922800011.0;;bureau;2017-01-24;2017;;DEL_2017_013;Procès-verbal du bureau communautaire du 6 décembre 2016;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/976c11d9509f4dcc02e1208d7aecc3b8
Grand Paris Sud;20005922800011.0;;bureau;2017-01-24;2017;;DEL_2017_014;Théâtre de Sénart - transaction avec l'entreprise SPIE Batignolles Energie – IDF, titulaire du lot n°14 – Plomberie, sanitaire, CVC, protection incendie;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/22312115c26a5dfa81185588038a8a49
Grand Paris Sud;20005922800011.0;;bureau;2017-01-24;2017;;DEL_2017_015;Convention tripartite avec la commune de Villabé et la société SUEZ Eau France pour l’exploitation d’une conduite de transport d’eau potable;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/af801ad26c6d93b6a9d8259a2f2dcdeb
Grand Paris Sud;20005922800011.0;;bureau;2017-01-24;2017;;DEL_2017_016;Agenda d’accessibilité programmé (AD’AP) – validation de la demande d’approbation de l’agenda auprès du Préfet du Département de l’Essonne;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/067688f709f28d4cf5f3e7f391e25d38
Grand Paris Sud;20005922800011.0;;bureau;2017-01-24;2017;;DEL_2017_020;Expérimentation d’une démarche d’écologie industrielle territoriale – convention de partenariat avec la Chambre de Commerce et d’Industrie de l’Essonne;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/fcd4919ac75ce625adfff7650d2eef8e
Grand Paris Sud;20005922800011.0;;bureau;2017-01-24;2017;;DEL_2017_034;Formations en apprentissage - conventions de prise en charge financière avec le CFA EVE d’Evry, le CFA des métiers de l’automobile et le CFA académique « En mouvement » pour la formation de Gheorghe TOPALOV;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/13ee3ffebb2bcdb3519cbbd467116dba
Grand Paris Sud;20005922800011.0;;bureau;2017-01-24;2017;;DEL_2017_037;Observation foncière – acte d’engagement avec la Direction Générale de l’Aménagement du Logement et de la Nature;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/af88eea67efabaae2eb25f3cc67b7a87
Grand Paris Sud;20005922800011.0;;bureau;2017-01-24;2017;;DEL_2017_039;Avis sur le Schéma Régional de l’Habitat et de l’Hébergement;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/694f8aab7b3408a6e6c72462a31b7975
Grand Paris Sud;20005922800011.0;;bureau;2017-02-28;2017;;DEL_2017_041;Régularisation foncière - cession du groupe scolaire Molière au profit de la commune Le Mée-sur-Seine;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/7306073f197122415cc941befc4849f7
Grand Paris Sud;20005922800011.0;;bureau;2017-02-28;2017;;DEL_2017_052;Délégation de service public de distribution de gaz avec GRDF – rapport d’activité 2015;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/e9a8521f98968a0eb72071fd64369066
Grand Paris Sud;20005922800011.0;;bureau;2017-02-28;2017;;DEL_2017_057;Délégation de service public pour la gestion de la pépinière/hôtel d’entreprises Le Trident à Corbeil-Essonnes avec Interfaces – rapport d’activité 2015;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/3e2de8188aa4323f25856ecea113e038
Grand Paris Sud;20005922800011.0;;bureau;2017-02-28;2017;;DEL_2017_059;Fonds micro-projets 2017 pour les initiatives locales des habitants des quartiers politiques de la ville – cadre d’attribution des subventions;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/f7223e6c188e603cb7131dc678b02912
Grand Paris Sud;20005922800011.0;;bureau;2017-02-28;2017;;DEL_2017_065;Convention avec le Centre Interdépartemental de Gestion de la Grande Couronne de la région Ile-de-France - assistance technique pour l’instruction des demandes d’allocation pour perte d’emploi;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/d18842ea44de5d7f512be63b3c058327
Grand Paris Sud;20005922800011.0;;conseil;2017-02-28;2017;;DEL_2017_066;Procès-verbal du Conseil communautaire du 24 janvier 2017;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/02ccbd337da6fe3e2402a3bb961ba69b
Grand Paris Sud;20005922800011.0;;conseil;2017-02-28;2017;;DEL_2017_067;Communication des travaux du Bureau communautaire du 24 janvier 2017;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/19c2479ba8e580e0f281a639b430e2d3
Grand Paris Sud;20005922800011.0;;conseil;2017-02-28;2017;;DEL_2017_069;Communication des décisions prises par le Vice-Président en charge de la commande publique – attributions exercées par délégation du Conseil communautaire;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/2d8ca3407746ef8c0fed3a28badc5ddc
Grand Paris Sud;20005922800011.0;;conseil;2017-02-28;2017;;DEL_2017_073;Modification de la délégation d’attributions du Conseil communautaire au Bureau communautaire, au Président et au Vice-Président en charge de la commande publique;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/f3d156d94960207b46500c682a26ea17
Grand Paris Sud;20005922800011.0;;conseil;2017-02-28;2017;;DEL_2017_078;Convention constitutive d’un groupement de commandes avec la Communauté d’agglomération Cœur d’Essonne pour la passation et l’exécution d’un marché de prestations intellectuelles relatives à la définition d’une stratégie commerciale;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/52343e3fa9677f7afa8f342ab7547b5d
Grand Paris Sud;20005922800011.0;;bureau;2017-03-28;2017;;DEL_2017_086;Signature de la Convention de formation professionnelle pour CESARIA NUNES Médiatrice de Sénart;;;;;;;;https://data.grandparissud.fr/api/explore/v2.1/catalog/datasets/deliberation-gps-migration-scdl/files/d048bbe0ffcb1137d10adde999ce3a57
